cluster_id	Amplitude	ContamPct	KSLabel	amp	ch	depth	fr	group	n_spikes	sh
0	9.60000000	82.80000000	mua	101.30705261	7	0.00000000	0.56590909		498	0.00000000
1	8.70000000	223.50000000	mua	120.76312256	5	400.00000000	2.15227273		1894	0.00000000
2	8.40000000	10.80000000	good	142.35241699	4	600.00000000	5.32727273		4688	0.00000000
3	8.10000000	52.20000000	mua	167.96908569	4	600.00000000	3.37045455		2966	0.00000000
4	8.30000000	54.60000000	mua	161.44329834	4	600.00000000	5.84431818		5143	0.00000000
5	11.00000000	135.80000000	mua	83.36425781	0	0.00000000	0.10340909		91	0.00000000
6	8.80000000	181.30000000	mua	114.08510590	2	400.00000000	0.93522727		823	0.00000000
7	8.20000000	199.40000000	mua	85.71485138	3	600.00000000	1.32727273		1168	0.00000000
8	12.20000000	122.90000000	mua	252.41226196	13	200.00000000	47.08636364		41436	0.00000000
10	11.00000000	155.00000000	mua	208.16476440	13	200.00000000	16.04886364		14123	0.00000000
11	8.90000000	1200.00000000	mua	210.93038940	8	600.00000000	0.19318182		170	0.00000000
12	8.80000000	207.40000000	mua	78.71222687	15	600.00000000	0.58295455		513	0.00000000
13	11.50000000	112.10000000	mua	140.93940735	11	0.00000000	0.31931818		281	0.00000000
16	8.80000000	80.00000000	mua	94.71701050	9	400.00000000	0.28750000		253	0.00000000
17	11.20000000	154.50000000	mua	213.27619934	9	400.00000000	42.56363636		37456	0.00000000
18	10.30000000	124.50000000	mua	169.74188232	9	400.00000000	9.67727273		8516	0.00000000
19	25.80000000	81.50000000	mua	510.63571167	9	400.00000000	9.08181818	good	7992	0.00000000
20	28.80000000	1101.40000000	mua	731.57250977	8	600.00000000	0.17954545		158	0.00000000
21	35.00000000	64.00000000	mua	726.85620117	13	200.00000000	4.99204545	good	4393	0.00000000
22	35.00000000	64.00000000	mua	726.85620117	13	200.00000000	0.01590909		14	0.00000000
31	11.70000000	328.60000000	mua	173.05548096	10	200.00000000	19.95000000		17556	0.00000000
32	11.70000000	328.60000000	mua	173.05548096	10	200.00000000	0.03295455		29	0.00000000
46	11.20000000	257.60000000	mua	158.28550720	10	200.00000000	17.92272727		15772	0.00000000
48	11.20000000	257.60000000	mua	158.28550720	10	200.00000000	2.54431818	good	2239	0.00000000
49	11.20000000	257.60000000	mua	158.28550720	10	200.00000000	0.01704545		15	0.00000000
